,train-time,predict-time,accuracy
1-NN,0.02,27.24,0.9723
3-NN,0,28.09,0.9733
5-NN,0.02,30.11,0.973
7-NN,0.02,30.43,0.9727
9-NN,0.02,31.03,0.9717
11-NN,0,32.18,0.9716
13-NN,0,31.77,0.97
15-NN,0.02,33.37,0.9699
17-NN,0.02,36.77,0.9687
19-NN,0.02,37.58,0.9682
21-NN,0,43.17,0.9682
23-NN,0,53.15,0.9674
25-NN,0.02,54.07,0.9675
27-NN,0,52.44,0.9671
29-NN,0.02,51.19,0.9665
31-NN,0,55.82,0.9664
33-NN,0,57.62,0.9658
35-NN,0,55.17,0.9654
37-NN,0,53.37,0.9646
39-NN,0,54.66,0.9638
41-NN,0.02,51.24,0.9631
43-NN,0,57.03,0.9627
45-NN,0,53.39,0.9619
47-NN,0,54.43,0.9616
49-NN,0,56.23,0.9612
51-NN,0,53.69,0.961
53-NN,0,54.13,0.9609
55-NN,0,52.14,0.9605
57-NN,0,52.91,0.9598
59-NN,0,55.02,0.9592
61-NN,0.02,51.65,0.9591
63-NN,0.02,54.42,0.9593
65-NN,0,51.44,0.9587
67-NN,0,54.89,0.958
69-NN,0,54.39,0.9579
71-NN,0.02,52.72,0.9574
73-NN,0.01,50.07,0.9573
75-NN,0,48.05,0.9573
77-NN,0,49.43,0.9572
79-NN,0.02,53.63,0.9573
81-NN,0.02,53.05,0.9568
83-NN,0,51.69,0.9563
85-NN,0,48.67,0.9557
87-NN,0,53.17,0.9558
89-NN,0,54.79,0.9557
91-NN,0,52.25,0.9551
93-NN,0,47.68,0.955
95-NN,0.01,37.41,0.9546
97-NN,0,32.26,0.955
99-NN,0.02,45.37,0.9547
101-NN,0,56.2,0.954
